commodity,value_bd
"Groupers ( Hamor, Bertam, Chenino, Cato, Nagel, Samman) , Frozen",7805.523
"Groupers (For Example, Hamor, Bertam, Chenino, Cato, Nagel, Samman) ,Fresh Or Chilled",705111.132
"Guava Juice, Concentrated, Containing Added Sugar Or Other Sweetening Matter.",5571.768999999999
"Guava Juice, Concentrated, Not Containing Added Sugar Or Other Sweetening Matter.",1375.52
"Guava Juice, Not Concentrated, Containing Added Sugar Or Other Sweetening Matter.",74415.021
"Guava Juice, Not Concentrated, Not Containing Added Sugar Or Other Sweetening Matter.",3744.022
"Guavas,  Fresh Or Dried",421294.05
Gum Arabic,34886.275
Gum Resins,28568.375
"Gum, Wood Or Sulphate Turpentine Oils",231.423
Gummed Or Adhesive Paper And Paperboard Self-Adhesive In Rolls Or Tapes Of A Width Not Exceeding 36 Cm,252395.817
"Guts, Bladders And Stomachs Of Animals",598.42
Gymnasium Or Athletics Articles And Equipment,2270622.734
Gypsum,475303.207
Haddock (Melanogrammus Aeglefinus) Fresh Or Chilled,547.738
"Haddock (Melanogrammus Aeglefinus), Frozen",868.801
Hair Brushes,100327.56
Hair Clippers With Electric Motor,354512.845
Hair Cream,934650.203
Hair Dryers,354560.076
Hair Dyeing Preparations,1299531.709
Hair Lacquers,127711.279
Hair Oils,955204.461
Hair Removers,225283.099
"Hair-Removing Appliances, With Self-Contained Electric Motor",156250.086
"Hake (Merluccius Spp., Urophycis Spp.), Frozen",14564.02
Halawa Tahiniah,372934.255
"Halibut (Reinhardtius Hippoglossoides, Hippoglossus Hippoglossus, Hippoglossus Stenolepis) Fresh Or Chilled",61.813
"Halibut (Reinhardtius Hippoglossoides, Hippoglossus Hippoglossus, Hippoglossus Stenolepis), Frozen.",121.07
Hammers And Sledge Hammers,58466.438
"Hamra Fish (Alesmaudi) , Fresh Or Chilled",8037.403
"Hamra Fish (Asmaudi) , Frozen",758.889
"Hams, Shoulders And Cuts Thereof With Bones, Salted, Brine,  Dried Or Smoked",37897.71
"Hams, Shoulders And Cuts Thereof, Of Fresh Or Chilled Swine",39352.831
"Hams, Shoulders And Cuts Thereof, Of Frozen Swine",88489.512
Hand Drying Apparatus,39531.842
Hand Greasers,27205.284
Hand Pumps,132762.983
Hand Saw Blades,141586.905
Hand Saws,23730.739
Hand Sharpening Or Polishing Stones,10400.306
Hand Sieves And Hand Riddles,7964.429
"Hand Tools, Not For Household Use, In Sets",171705.043
Hand- Or Foot-Operated Air Pumps,68758.513
Hand-Held Blow Pipes,15991.686
"Hand-Operated Appliances, 10Kg Or Less, For Food/Drink",69211.715
Handbags With Outer Surface Of Leather,11665351.543
Handbags With Outer Surface Of Plastic Or Textiles,5189217.563
"Handbags, Shopping -Bags And Suitcases Of Plastics",111361.598
Handerchiefs Of Other Textiles,14370.889000000001
"Handkerchiefs, Tissues And Towels",3636531.272
Handles Of Bass Metal,6390.764999999999
Handmade Lace,495.12699999999995
Handmade Paper And Paperboard,37216.363
Handrails For Staircases,2910.563
Hardened Textile Fabric For Hat Manufacture,1701.6680000000001
"Haricot Beans, Frozen",21744.201
"Hat-Forms, Hat Bodies And Hoods Of Felt",2875.526
"Hat-Racks, Hat-Pegs, Brackets And The Like",444324.716
"Hat-Shapes, Plaited Or Made With Strips",360.956
"Hats And Other Headgear, Plaited Or Made With Strips",189553.109
"Having A Maximum Weighing Capacity Exceeding 30 Kg But Not Exceeding 5,000Kg",22240.642
"Having A Maximum Weighing Capacity Exceeding 30Kg But Not Exceeding 5,000Kg",78256.232
"Hazel Nuts Roasted , Whether Or Not Salted",49507.535
Hazelnuts In Shells,17238.602000000003
"Hazelnuts, Shelled",108214.19900000001
Head And Spine Orthopaedic Appliances,13962.393
"Head-Bands, Linings, Covers, Hat Frames, Etc.",267496.936
Headbands (Uqul),15885.193
Headphones For The Fixed Telephone,209684.769
"Heads, Tails, Paws And Other Pieces, Not Assembled",149.69
"Hearing Aids, Excluding Parts",145706.203
Hearths Of Liquid Fuel,148.48
Heat Exchange Units,2369631.488
Heat Pumps Other Than Air Conditioning Machines Of Heading 84.15,549069.139
Heaters With Liquid Fuel,305.78
"Hedge Shears, Two-Handed Pruning Shears And The Like",12133.459
Helical Springs,208553.888
Helium,170579.289
Henna,32710.803
Heptanes,424.46000000000004
"Herbicides, Anti-Sprouting Products And Plant-Growth Regulators Containing Bromomithan (Methyl Bromide) Or Bromochloromethane",810.308
"Herrings (Clupea Harengus, Clupea Pallasii) Fresh Or Chilled",2427.05
"Herrings (Clupea Harengus, Clupea Pallasii),  Smoked",28488.654000000002
"Herrings (Clupea Harengus, Clupea Pallasii), Anchovies (Engraulis Spp.), Sardines (Sardina Pilchardus, Sardinops Spp.), Sardinella (Sardinella Spp.), Brisling Or Sprats (Sprattus Sprattus), Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Indian Mackerels (Rastrelliger Spp.), Seerfishes (Scomberomorus Spp.), Jack And Horse Mackerel (Trachurus Spp.), Jacks, Crevalles (Caranx Spp.), Cobia (Rachycentron Canadum), Silver Pomfrets (Pampus Spp.), Pacific Saury (Cololabis Saira), Scads (Decapterus Spp.), Capelin (Mallotus Villosus), Swordfish (Xiphias Gladius), Kawakawa (Euthynnus Affinis), Bonitos (Sarda Spp.), Marlins, Sailfishes, Spearfish (Istiophoridae) Dried, Wether Or Not Salted",1009.92
"Herrings,Prepared Or  Preserved Not Minced",4862.696
Hexamethylenediamine And Its Salts,64394.96400000001
Hexanes,3951.589
"High Speed Steel, Under 600 Mm Wide",37.895
High Tenacity Yarn Of Polyesters,46890.957
Hinges,1237319.706
"Holder For Tooth Brushes , Paper Napkins , For Toilets",198342.221
Hollow Bars Of Tin,6.34
Hollow Drill Bars And Rods Of Other Alloy Steel,137837.218
Hollow Profiles Of Aluminum Alloys,943734.531
Holy Quran,25150.699
Homogenised Preparations Of Fowls Of The Species Gallus Domesticus,11144010.511
Homogenized Composite Food Preparations,178395.7
Honing Or Lapping Machines,2202.142
"Hooks And Other Coupling Devices, For Railway Stock",1020.97
"Hooks, Eyes And Eyelets",66340.242
Hooping Iron,21614.448
Hoops For Gardens' Boundaries And Trees,7145.072
"Hoopwood For Barrel Starves And Paritions, Coniferous",144.67999999999998
"Hoopwood For Barrel Starves, Partitions, Non-Coniferous",741.8879999999999
"Horns, Antlers, Hooves, Nails, Claws",2853.73
"Horse Beans, Not Frozen",18519.878
Horses For Sport,267492.473
Hot Or Combination Hot And Cold Rolling Mills,1484.37
"Hot-Rolled Bars Of Free-Cutting Steel, Irregular Coils",652497.449
"Hot-Rolled Stainless Coils, Over 599Mm Wide&10Mm Thick",33123.344
"Hot-Rolled Stainless Steel Bars, Irregular Coils",10267.087
"Hot-Rolled Stainless, Over 599Mm Wide, 3-4.74Mm Thick",2373.549
"Hot-Rolled Stainless, Over 599Mm Wide, 4.75-10Mm Thick",110890.858
"Hot-Rolled Stainless, Over 599Mm Wide, Under 3Mm Thick",38885.32
"Hot-Rolled Stainless, Under 600 Mm Wide, Over 4.74Mm Th",17333.603
"Hot-Rolled Stainless, Under 600Mm Wide& 4.75 Thick",35530.642
"Hot-Rolled Steel Bars With Deformations, Irregular Coil",8265179.553
"Household Articles Of Cast Iron, Enamelled",191055.838
"Household Articles Of Cast Iron, Not Enamelled",63318.779
"Household Articles Of Iron Or Steel, Enamelled",67310.813
Household Articles Of Stainless Steel,1849939.437
Household Hand Tools In Sets,22709.127
Household Tools,106658.31199999999
Household Type Dish Washers,1040790.032
Household Ware Of Zinc.,600164.142
Housekeeping Articles Of Plastics,48079.744999999995
"Hubs, And Sprockets For Bicycles",14125.889000000001
"Human Hair, Dressed, Thinned, Bleached",89336.351
"Human Hair, Unworked; Waste Of Human Hair",3554.4100000000003
Husked (Brown) Rice,55245.074
Hydraulic And Turbo System Oils,943671.502
Hydraulic Brake Fluids And Transmission Fluids,884700.313
Hydraulic Lime,20262.13
Hydraulic Or Pneumatic Regulating Equipment,322833.239
"Hydraulic Turbines Under 1,001 Kw",8577.211
"Hydrazine, Hydroxylamine And Inorganic Salts",8536.52
Hydrides,1823.264
Hydrogen,24059.248
Hydrogen Chloride (Hydrochloric Acid),821448.835
Hydrogen Fluoride ( Hydrofluoric Acid ),3487.077
Hydrogen Peroxide,400692.093
Hydrogen Sulphide,6805.632
Hydrometers,19829.347
Hydroquinone (Quinol) And Its Salts,32987.392
Hydroxide And Peroxide Of Magnesium,193.12
Hygienic Bathroom Appiances And The Like Of Rubber,11030.702
Hygrometers,27693.879999999997
I Beams,1801.39
Ice Cream And Other Edible Ice,5377541.396
Ice Skates And Roller Skates,32231.690000000002
Ice-Cream Making Machines,321915.81299999997
Ice-Cubes Making Machines,94700.993
Igniters,9783.844
Ignition Magnetos; Magneto-Dynamos; Magnetic Flywheels,18492.883
Ignition Wiring Sets And Other Wiring Sets For Vehicles,455486.624
"Illuminated Signs, Illuminated Name-Plates And The Like Of Glass",91850.55900000001
"Illuminated Signs, Illuminated Name-Plates And The Like With Light-Emitting Diode (Led) Light Sources",667494.422
Imitation Jewellery Of Glass,19926.016
Imitation Jewellery Of Plastic,131593.181
Imitation Jewellery Of Wood,7814.816
"Immunological Products, Put Up In Measured Doses Or In Forms Or Packings For Retail Sale",16094166.128
Inactive Ethyl Alcohol For Medical Uses,3696.829
Inactive Yeasts For Human Consumption,3774.074
Incense (Sticks),531836.38
"Incomplete Watch Movements, Assembled",52.79
Indian Betel Leaves,591.366
Indian Mackerel Fresh Or Chilled,346935.16500000004
"Indian Mackerel, Frozen",12973.170999999998
Indicator Panels With Lcd Or Led,818364.607
Induction Or Dielectric Furnaces And Ovens,35107.126000000004
Industrial Equipment Of Precious Stones,5553.4130000000005
Industrial Fatty Alcohols,36450.53
Industrial Robots,1450.453
Industrial Robots Not Elsewhers Specifed Or Included,272047.853
Inedible Fish Eggs,1025.68
Inflatable (Including Rigid Hull Inflatable) Boats  Not Designed For Use With A Motor And Unladen (Net) Weight Not Exceeding 100 Kg,2771.119
"Inflatable (Including Rigid Hull Inflatable) Boats Fitted Or Designed To Be Fitted With A Motor, Unladen (Net) Weight (Excluding The Motor) Not Exceeding 100 Kg",3190.209
Inflatable Balls,187305.833
Inflatable Rafts,295461.53500000003
Ingot Molds And Ladles,80241.658
Ingots And Other Primary Forms Of Other Alloy Steel,18697.729
Ingots And Other Primary Forms Of Stainless Steel,4330.0599999999995
Ingots Of Iron And Non-Alloy Steel,4262.434
Injection Or Compression Type Molds For Rubber/Plastic,235608.288
Injection Or Compression Types Of Molds For Metals,4862.39
Injection-Molding Machines,220669.86000000002
Ink For Ballpoint Pens,70.97
Ink For Numbering,16236.885999999999
Ink For Typing Machines,14232.271999999999
Ink For Typing Machines' Ribbons,2.07
Ink Pads,8462.938
Ink-Removers Put Up In Packings For Retail Sale,3970.4230000000002
Inner Tubes Of A Kind Used On Bicycles,41488.186
Inner Tubes Of A Kind Used On Motor Cars,17940.999
Inorganic Products Of A Kind Used As Luminophores,5551.105
"Input Or Output Units, Whether Or Not Containing Storage Units In The Same Housing",1652568.847
Insecticide Portable Sprayers Appliances,28593.992000000002
Insecticide Sprayers Appliances,5239.589999999999
Insects,5.8870000000000005
"Instant Coffee (Nescafe, Yuban, Maxweell, Etc)Added Sugar Or Other Sweetening Matter.",1622291.44
Instant Print Cameras,125796.762
"Instant Print Packs, Flat",54842.506
Instantaneous Gas Water Heaters,205.4
"Instrument Panel Clocks And Similar For Vehicles, Etc.",5126.5
Instruments And Apparatus For Mass Spectrometers,14772.02
Instruments For Aeronautical Or Space Navigation,120961.269
Instruments For Inspecting And Adjusting Engines,83818.143
Instruments For Measuring Or Checking Pressure,9624708.86
Instruments For Measuring Or Detecting Radiations,188898.62
Instruments For Measuring The Flow Of Liquids,2283110.909
"Instruments, Apparatus Designed For Demonstrations",1624303.061
Insulating Fittings Of Ceramics,5110.266
Insulating Fittings Of Plastics,195594.231
"Insulation ( Heat, Sound, Electricity ) Of Glass Fibers",674030.532
Intake Air Filters For Internal Combustion Engines,1757754.129
Intensifying Solutions And Diluting Solutions,306.46
Interchangeable Spanner Sockets,99524.117
Inulin (Sugar From Some Plants Roots),74.83
Invalid Carriage Parts,44950.096
Invalid Carriages Not Mechanically Propelled,209524.163
Invalid Cycles (Carriages),3991.3089999999997
"Invert Sugar, Whether Or Not Chemically Pure",8213.09
Invisible Ink,10668.36
Iodates And Periodates,424.789
Iodides And Iodide Oxides,4895.6630000000005
Iodine,767.596
Ion-Exchangers From Polymers Of Headings 39.01-39.13,53494.075
Iron Office Or Desk Equipment,139.333
"Iron Or Steel Painted, Varnished Or Plastic Coated",301082.97000000003
Iron Or Steel Plated With Chromium Oxides,360498.946
"Iron Or Steel Wool; Pot Scourers, Pads And Gloves",173915.209
"Iron Or Steel, Lead-Plated",1438.3899999999999
"Iron Or Steel, Tin-Plated, 0.5 Mm Or More Thick",30148.303999999996
"Iron Or Steel, Tin-Plated, Under .5 Mm Thick",279547.785
Iron Sulphate,47.864
Ironing Machines And Presses,237551.569
Isocyanates,218953.95
Isolating Switches And Make-And-Break Switches,1600704.994
Isopropyl S-Sodium  Methylphosphonothiolate,65.235
Jack Pomfert Fresh Or Chilled,10112.188
"Jack Pomfret , Frozen",28.49
Jars And Containers For General Lab Or Warehouse Use,3000.7039999999997
"Jeeps, 1 Year Old, Spark Ignition, 1001 To 1500 Cc",752656.874
"Jeeps, 1 Year Old, Spark Ignition, 1501 To 3000 Cc",1604172.235
"Jeeps, 1 Year Old, Spark Ignition, Not Over 1000 Cc",243122.364
"Jeeps, 1 Year Old, Spark Ignition, Over 3000 Cc",4706905.911
"Jeeps, Current Year, Spark Ignition, Over 3000 Cc",77404435.42300001
"Jeeps, Current, Spark Ignition, 1001 To 1500 Cc",11879860.013
"Jeeps, Current, Spark Ignition, 1501 To 3000 Cc",93258468.913
"Jeeps, Current, Spark Ignition, Not Over 1000 Cc",321705.346
Jelly Fungi (Tremella Spp ) Dried,15.95
"Jellyfish (Rhopilema Spp.) Live, Fresh, Chilled, Frozen, Dried, Salted Or In Brine Or Smoked , Whether Or Not Cooked Before Or During The Smoking Process",36.46
"Jellyfish, Prepared Or  Preserved",2108.487
"Jerseys ,Pullovers,Cardigans,Waist-Coats And Similar Articles,Knitted Or Crocheted Of Kashmir (Cashmere)Goats",387772.225
"Jerseys,Pullovers,Cardigans,Waist-Coats And Similar Articles ,Knitted Or Crocheted. Of Wool",559412.139
"Jerusalem Artichokes Fresh, Chilled, Frozen Or Dried, Whether Or Not Sliced Or In The Form Of Pellet",21835.389
Jet Ski Boats,153981.963
Jewellery Of Base Metal Clad With Precious Metal,66750.901
Jewellery Of Gold,106692115.084
Jewellery Of Platinium And The Platinum Group,964125.931
Jewellery Of Silver,1051595.159
Jugs And Basins Of Rubber,329.29200000000003
"Jute And Other Textile Bast Fibers, Raw",29.627
Jute Sacks And Bags,7031.924
Kaolin,2398479.794
Kawakawa Tuna  (Thunnus Avinus) Fresh Or Chilled,34286.526
"Kelem, Schumacks, Karamanie And Similar Hand Rugs",163712.778
Kentucky Blue Grass Seed,136.172
Ketone-Alcohols And Ketone-Aldehydes Function,98.063
Key Or Combination Operated Locks,184983.38400000002
"Keyboard Instruments, Other Than Accordions",54526.1
Keys Presented Separately,24504.757
"Kidney Beans, Fresh Or Chilled",65570.942
"Kidney Beans, Frozen",3821.168
"Kidney Beans, Including White Pea Beans (Phaseolus Vulgaris) Beans For Food, Dried And Shelled,",201184.341
"Kidney Beans, Including White Pea Beans (Phaseolus Vulgaris) Beans For Sowing, Dried And Shelled,",17.2
Kitchen Towels For Drying And Wiping The Pots,34707.037000000004
"Kiwi , Fresh",1024406.338
Knited Female Skirts Of Other Textile Materials,99145.383
"Knitted Babies' Clothes, Of Cotton",1966215.607
"Knitted Babies' Clothes, Of Other Textiles",88679.008
"Knitted Babies' Clothes, Of Synthetic Fibers",80107.5
Knitted Female Blouses And Shirts Of Cotton,343918.369
Knitted Female Blouses And Shirts Of Man-Made Fibers,306821.223
Knitted Female Blouses And Shirts Of Other Textiles,86076.976
Knitted Female Dresses Of Artificial Fibers,322259.569
Knitted Female Dresses Of Cotton,1982534.071
Knitted Female Dresses Of Other Textile Materials,277438.059
Knitted Female Dresses Of Synthetic Fibers,818638.077
Knitted Female Dresses Of Wool,43194.632
Knitted Female Ensembles Of Cotton,87273.593
Knitted Female Ensembles Of Other Textile Materials,28781.027
Knitted Female Ensembles Of Synthetic Fibers,41009.854
Knitted Female Jackets Of Cotton,195270.878
Knitted Female Jackets Of Other Textile Materials,70273.306
Knitted Female Jackets Of Synthetic Fibers,111421.93000000001
Knitted Female Jackets Of Wool,51002.023
Knitted Female Nightwear Of Cotton,778063.83
Knitted Female Nightwear Of Man-Made Fibers,322202.3
Knitted Female Nightwear Of Other Textiles,215138.187
Knitted Female Skirts Of Cotton,85774.386
Knitted Female Skirts Of Synthetic Fibers,1000545.8569999998
Knitted Female Skirts Of Wool,8603.823
Knitted Female Slips Of Man-Made Fibers,5961.823
Knitted Female Slips Of Other Textile Materials,25946.799
Knitted Female Suits Of Other Textile Materials,377790.335
Knitted Female Suits Of Synthetic Fibers,6049.763
Knitted Female Swimwear Of Other Textiles,100922.372
Knitted Female Swimwear Of Synthetic Fibers,269657.654
"Knitted Female Trousers, Shorts, Etc., Of Cotton",1253711.196
"Knitted Female Trousers, Shorts, Etc., Of Wool",83397.972
"Knitted Female Trousers, Shorts, Etc., Other Textiles",2705108.236
"Knitted Female Trousers, Shorts, Etc., Synthetic Fibers",1148210.915
Knitted Female Undergarments Of Cotton,947680.605
Knitted Female Undergarments Of Man-Made Fibers,260543.87600000002
Knitted Female Undergarments Of Other Textiles,156023.501
Knitted Male Ensembles Of Cotton,322632.405
Knitted Male Ensembles Of Other Textile Materials,204692.835
Knitted Male Ensembles Of Synthetic Fibers,22748.128
Knitted Male Jackets Of Cotton,737507.89
Knitted Male Jackets Of Other Textile Materials,43270.058
Knitted Male Jackets Of Synthetic Fibers,480829.642
Knitted Male Jackets Of Wool,60121.603
Knitted Male Nightwear Of Cotton,394181.609
Knitted Male Nightwear Of Man-Made Fibers,18829.284
Knitted Male Nightwear Of Other Textiles,23756.06
Knitted Male Shirts Of Cotton,1645932.803
Knitted Male Shirts Of Man-Made Fibers,1663365.437
Knitted Male Shirts Of Other Textile Materials,205568.126
Knitted Male Suits Of Other Textile Materials,93228.789
Knitted Male Swimwear Of Other Textiles,48705.006
Knitted Male Swimwear Of Synthetic Fibers,77639.208
"Knitted Male Trousers, Shorts, Etc., Of Cotton",2380999.879
"Knitted Male Trousers, Shorts, Etc., Of Other Textiles",256781.09100000001
"Knitted Male Trousers, Shorts, Etc., Of Synthetic Fiber",3825325.662
"Knitted Male Trousers, Shorts, Etc., Of Wool",39261.252
Knitted Male Underwear Of Cotton,1248049.166
Knitted Male Underwear Of Man-Made Fibers,130227.198
Knitted Male Underwear Of Other Textiles,41690.879
Knitted Or Crocheted Bedspreads,26585.937
Knitted Or Crocheted Carpets Looking Like Fur,38653.73
Knitted Or Crocheted Fabrics Containing By Weight 5Persant  Of Walstomeric Yarn But Not Containing Rubber Thread,12838.712
Knitted Or Crocheted Fabrics Containing By Weight 5Precant Or More Of Elasmeric Yarn But Not Containing Rubber Thread,206.89
Knitted Or Crocheted Fabrics Of Cotton Of A Width Not Exceeding 30 Cm,1875.0829999999999
Knitted Or Crocheted Fabrics Of Synthetic Fibres Of A Width Exceeding 30 Cm,1107.47
Knitted Or Crocheted Rubberized Textiles,13161.108
Knitted Panty Hose Of Other Textiles,67820.432
Knitted T-Shirts And Other Vests Of Cotton,10268092.716
Knitted T-Shirts And Other Vests Of Other Textiles,3426132.471
Knitted Track Suits Of Cotton,210066.017
Knitted Track Suits Of Other Textiles,16180.05
Knitted Track Suits Of Synthetic Fibers,118633.56599999999
Knives And Blades For Agricultural Or Forestry Machines,15130.656
Knives And Blades For The Kitchen Or For Food Machines,68851.138
"Kraft Paper, Creped Or Crinkled, Whether Or Not Embossed Or Perforated",16435.822
"Lab Benches Fitted With Nozzles And Water Taps, Wood",713625.056
"Lab Benches Fitted With Nozzles Or Water Taps, Metal",98106.627
Lab Tubes And Reactors Containers Of Quartz Suitable For Use In Furnaces Oxidation For The Production Of Semiconductor Chips,6759.313
Laban,4478576.244
"Labels Badges ,Initals Emblems, And The Like Excluded (Heading58.10 Or 58.07)",64213.252
"Lactic Acid, Its Salts And Esters",93098.426
Lactones,30687.951
"Lactose Containing By Weight 99 Persant Or More Lactose, Expressed As Anhydrous Calculated On The Dry Matter",551.415
Laminated Safety Glass For Transportation,205688.932
"Laminated Wood Plywood Consisting Solely Of Sheet Of Wood, Each Ply Not Exceeding 6 Mm Thickness , With At Least One Outer Ply Of Non-Coniferous Wood Not Specified Under Subheading 4412.33",83660.17499999999
"Laminated Wood Plywood Consisting Solely Of Sheet Of Wood, Each Ply Not Exceeding 6 Mm Thickness With At Least One Outer Ply Of Tropical Wood",1811584.913
"Laminated Wood Plywood Consisting Solely Of Sheet Of Wood, Each Ply Not Exceeding 6 Mm Thickness, With At Least One Outer Ply Of Non-Coniferous Wood Of The Species Alder (Alnus Spp.), Ash (Fraxinus Spp.), Beech (Fagus Spp.), Birch (Betula Spp.), Cherry (Prunus Spp.), Chestnut (Castanea Spp.), Elm (Ulmus Spp.), Eucalyptus (Eucalyptus Spp.), Hickory (Carya Spp.), Horse Chestnut (Aesculus Spp.), Lime (Tilia Spp.), Maple (Acer Spp.), Oak (Quercus Spp.), Plane Tree (Platanus Spp.), Poplar And Aspen (Populus Spp.), Robinia (Robinia Spp.), Tulipwood (Liriodendron Spp.) Or Walnut (Juglans Spp.)",3290197.514
Lamp And Battery Carbons And The Like,17126332.829
Lamp Holders For 1000 V Or Less,91307.524
Lamps For External Lighting,448316.233
Latex Cr,13822.88
Latex Sbr,550421.804
Lavatory Seats And Covers Of Plastic,250627.63700000002
Lawn-Tennis Balls,25031.388
Lawn-Tennis Rackets,27917.407
"Lead Sheets, Strip And Foil, Not Over 0.2 Mm Thick",7212.183
Lead Sulphates,1701.065
Lead Waste And Scrap,106.05
Lead-Acid Electric Accumulators For Piston Engines,7519062.285
Leaf-Springs And Leaves Therefor,153775.019
Leather Briefcases,52953.541000000005
"Leather Footwear Covering The Ankle, Baby",46278.69
"Leather Footwear Covering The Ankle, Female",259450.888
"Leather Footwear Covering The Ankle, Male",569538.077
"Leather Footwear Not Covering The Ankle, Baby",442015.08800000005
"Leather Footwear Not Covering The Ankle, Female",3370310.825
"Leather Footwear Not Covering The Ankle, Male",1101468.101
Leather Further Prepared After Tanning Or Crusting Of Goats Or Kids,270.123
Leather School Satchels,48211.27
Leather Sports Gloves,32208.429
Leather Trunks And Suitcases,161079.554
Lecithins And Other Phosphoaminolipids,42723.931
Leek Seeds,59.129999999999995
"Leeks And Other Alliaceous Vegetables, Fresh Or Chilled",65637.679
"Lemon Juice,  Of Brix Value Not Exceeding 20,  Containing Added Sugar Or Other Sweetening Matter.",488252.83200000005
"Lemon Juice,  Of Brix Value Not Exceeding 20,  Not Containing Added Sugar Or Other Sweetening Matter.",40504.438
Lemonade (7 Up),947581.476
"Lentils, Dried And Shelled,",4936823.034
"Letter Cards, Postcards And Correspondence Cards",14894.08
"Letteress Printing Machinery, Other Than Reel Fed, Excluding Flexographic Printing",13003.574
"Letteress Printing Machinery, Reel Fed, Excluding Flexographic Printing",104.75
"Letters, Figures And Similar Articles For Stamps",10770.814999999999
"Letters, Numbers And The Like Of Glass",1230.647
Lettuce Seeds,24107.874
Leucite; Nepheline And Nepheline Syenite,1163.2979999999998
Levelling Machinery Used For Constructing Roads,191946.848
Levels,39539.681
Life-Jackets And Life-Belts,153143.39299999998
Lifting Ropes Of Steel,58683.991
Lifts And Skip Hoists,4768202.8719999995
Light Straight Naphtha,875.2
Light Truck (Half-Lorries And The Like) With Tipping Lorries Ready .G.V.W. Not Exceeding 5 Tonnes,4793.16
Light-Emitting Diode (Led) Lamps,752409.89
Light-Vessels,287.21
Lighting Or Visual Signaling Equipment For Bicycles,18587.033
Lighting Sets Used For Christmas Trees  With Light-Emitting Diode (Led) Light Sources,44429.804000000004
"Lightning Arresters, Voltage Limiters, Surge Suppressor",125286.106
Limestone Flux; Limestone And Similar Stone,3641791.572
"Line Pipe Used For Oil Or Gas Welded, Of Stainless Steel",501404.71199999994
"Line Pipe Used For Oil Or Gas, Of Stainless Steel",188625.747
Line Telephone Sets With Cordless Handsets,35777.759000000005
Linear Acting (Cylinders) Hydraulic Engines,915726.823
Linear Acting (Cylinders) Pneumatic Engines,858021.0229999999
Linear Alkylbenzene Sulphonic Acids And Their Salts Not Put Up For Retail Sale,86651.3
Linen Of Man-Made Fibers,74076.48300000001
Linen Of Other Textile Materials,38890.172
Lines For Telegraph & Telephone Less Than 10 Paris Fitted With Connectors,108471.253
"Lines For Telegraph And Telephone 10 Pairs Or More , For Tension",3587246.045
"Linoleum, Whether Or Not Cut To Shape; Floor Coverings",82684.17
"Linseed, Whether Or Not Broken",19341.24
Lip Make-Up Preparations,2223252.221
Liqueurs And Cordials,860219.468
"Liquid (For Example, Tide . Etc.) Or Not Put Up For Retail Sal",6547839.59
Liquid Air And Compressed Air,37.987
"Liquid Dielectric Transformers, 650 Or Less Kva",458450.906
"Liquid Dielectric Transformers, 651 To 10,000 Kva",3227725.496
"Liquid Dielectric Transformers, Over 10,000 Kva",1049267.301
Liquid Elevators,10966.257
Liquid Lustres And Similar Preparations,469845.033
Liquid Margarine,128498.559
Liquid Odoriferous Burning Preparations,90020.151
Liquid Or Jell Containers Flavored Containing Nicotine,710917.7660000002
Liquid Or Jell Containers Non-Flavored Containing Nicotine,29016.11
Liquid Or Liquefied-Gas Fuels In Containers Of A Kind Used For Filling Or Refilling Cigarette Or Similar Lighters And Of A Capacity Not Exceeding 300 Cm3,63434.945
Liquid Or Powder Ink Catridges For Printers,2790490.566
Liquid-Filled Thermometers,13808.141
Liquids For Hydraulic Brakes,37950.507000000005
Lithium,21449.32
Lithium Carbonate,162.9
"Lithium Dry Cells (Batteries) For Portable Equipment,1.5 Volt And Over",253862.84100000001
Lithium Oxide And Hydroxide,33.04
Lithium-Ion Electric Accumulators,1673903.079
"Live  Atlantic And Pacific Bluefin Tunas (Thunnus Thynnus, Thunnus)",3535.38
Live Ornamental Fish From Freshwater,94054.571
Live Soutern Bluefin Tunas  (Thunnus Maccoyii),6209.13
"Livers , Roes And Milt, Fresh Or Chilled",1860.7649999999999
"Livers , Roes And Milt, Frozen",3190.266
"Livers And Roes, Dried, Smoked, Salted Or Brine",200.12400000000002
"Livers Of Bovine Animals, Frozen",749634.325
"Livers Of Sheep And Goats, Frozen",23393.428
"Livers Of Swine, Frozen",3605.96
Lngots And Other Primary Forms Of Rectangular (Other Than Square) Cross-Section,202.88
"Lobster,Prepared Or  Preserved",13891.563
"Lobsters ""Homarus Spp."", Even Smoked, Whether In Shell Or Not, Incl. Lobsters In Shell, Cooked By Steaming Or By Boiling In Water,  Dried, Salted Or In Brine",2102.8
"Lobsters ""Homarus Spp."", Even Smoked, Whether In Shell Or Not, Incl. Lobsters In Shell, Cooked By Steaming Or By Boiling In Water,  Live, Fresh Or Chilled",69063.825
Local Tiles For Flooring And Roofing,236493.693
Locks For Bikes,1376.2820000000002
Locks For Handbags Or Trunks,300.539
Locks Of A Kind Used For Furniture,172271.957
Locks Of A Kind Used For Motor Vehicles,324885.992
"Long Life Milk , In Packing Exceeding 1 L Of Afat Content,By Weight,Exceeding 1 Percent But Not Exceeding 6 Percent",518279.793
"Long Life Milk, In Containers Exceeding 1 Litre, Of A Fat Content, By Weight, Exceeding 1% But Not Exceeding 6%",2802239.9359999998
